AÑO;T.RED;NOMBRE;DESCRIPCIÓN;LONG.;IMD;ACV;ASV;MUERTOS;HERIDOS;IM;IP;IAT;IL;IG
2020;CL;AV-120;DE MUÑANA (N-110) A MUÑICO (AV-110);19.69;107.652107669;1.0;0.0;0.0;1.0;0.0;129.252479273;129.252479273;0.0;0.0
2020;CL;AV-322;DE SANCHIDRIÁN (AP-6) A L.P. DE SEGOVIA;2.406;362.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;CL;AV-500;DE ÁVILA (N-501) A LÍMITE DE PROVINCIA DE SEGOVIA;22.212;557.47906537;1.0;5.0;0.0;1.0;0.0;22.1253886152;132.752331691;0.0;0.0
2020;CL;AV-501;DE NAVALPERAL DE PINARES (CRUCE CON CL-505) A SANTA MARÍA DEL CUBILLO (CRUCE CON N-110);26.0;98.6350384615;0.0;2.0;0.0;0.0;0.0;0.0;213.664595504;0.0;0.0
2020;CL;AV-504;DE CEBREROS  A  N-403 (PRESA DE BURGUILLO)_x000D_;7.2;308.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;CP;AV-512;DE CEBREROS (CRUCE CON AV-502) A EL TIEMBLO (CRUCE CON N-403);6.65;1144.0;2.0;2.0;0.0;2.0;0.0;72.0260273252;144.05205465;0.0;0.0
2020;CL;AV-561;DE HOYO DE PINARES (AV-502) A LÍMITE DE C.A. DE MADRID;11.738;403.0;2.0;1.0;0.0;2.0;0.0;115.83451374;173.75177061;0.0;0.0
2020;CP;AV-804;DE ÁVILA (CRUCE CON N-501) A ARÉVALO (POLÍGONO INDUSTRIAL, CRUCE CON CL-605);44.26;1127.84907366;2.0;11.0;0.0;2.0;0.0;10.9767742981;71.349032938;0.0;0.0
2020;CL;AV-810;DE ARÉVALO (POLÍGONO INDUSTRIAL, CL-605) A RAMAL A-6_x000D_;1.403;3716.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;CP;AV-902;DE BURGOHONDO (AV-900) A CRUCE CON N-403;20.709;919.661741272;7.0;8.0;0.0;7.0;0.0;100.697323571;215.779979081;0.0;0.0
2020;CP;AV-904;DE CRUCE CON N-403 A CRUCE CON CL-501;2.915;1276.0;1.0;3.0;0.0;1.0;0.0;73.6576573285;294.630629314;0.0;0.0
2020;CP;AV-905;DE VENTA DEL OBISPO (N-502) A CRUCE CON N-403 (EL BARRACO);46.895;384.224373601;0.0;11.0;0.0;0.0;0.0;0.0;167.258566095;0.0;0.0
2020;CL;AV-913;DE BURGOHONDO (CRUCE CON AV-901) A CRUCE CON AV-922;32.135;235.964369068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;CL;AV-915;DE SOTILLO DE LA ADRADA (CL-501) A LÍMITE DE C.A. DE CASTILLA LA MANCHA;14.137;322.162764377;1.0;2.0;0.0;1.0;0.0;60.1553882858;180.466164857;0.0;0.0
2020;CP;AV-923;DE CRUCE CON N-502 A ARENAS DE SAN PEDRO (CRUCE CON AV-924);6.295;1756.0;2.0;2.0;1.0;1.0;24.7848839372;49.5697678744;99.1395357489;50.0;50.0
2020;CL;AV-932;DE PIEDRAHÍTA (N-110) A CRUCE CON AV-941;27.821;82.03037274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;CL;AV-933;DE MUÑANA (N-110) A CRUCE CON N-502;7.623;332.0;0.0;1.0;0.0;0.0;0.0;0.0;108.253795481;0.0;0.0
