PR;RED;CARRETERA;TRAMO;LONGITUD;pk i;pk f;"ANCHURA
ASF
(m.)";"ESTAC.
AFORO"
AV;B;CL-501;DE LA ADRADA (AV-930) A PIEDRALAVES;4.46;19.62;24.08;8.8;AV-3075
AV;B;CL-501;DE  AV-922 A RAMACASTAÑAS (N-502);14.77;45.85;60.62;9.0;AV-1400
AV;B;CL-505;DE AV-503 A NAVALPERAL DE PINARES (AV-502);26.65;3.09;29.735;8.8;AV-3405
AV;B;CL-505;DE NAVALPERAL DE PINARES  (AV-502) A LAS NAVAS DEL MARQUÉS;6.76;29.735;36.5;8.8;AV-0130
AV;B;CL-510;DE  AV-105 A PIEDRAHÍTA (AV-102);14.17;49.13;63.3;9.0;AV-1150
AV;B;CL-605;DE LÍMITE DE PROVINCIA DE SEGOVIA A  A-6;2.07;51.93;54.0;9.0;SG-3155
AV;B;CL-610;DE LÍMITE DE PROVINCIA DE VALLADOLID A MADRIGAL DE LAS ALTAS TORRES (CL-605);5.66;64.9;70.558;9.0;AV-3480
AV;B;CL-610;DE AV-P-129 A LÍMITE DE PROVINCIA DE SALAMANCA;2.53;80.555;83.09;9.0;SA-1180
AV;P;AV-100;DE EL BARCO DE ÁVILA (N-110) A BECEDAS (OESTE);11.9;0.0;11.9;7.15;AV-4050
AV;P;AV-105;DE AREVALILLO (CL-510) A LÍMITE DE PROVINCIA DE SALAMANCA (AV-110);19.4;0.0;19.4;6.95;AV-4195
AV;P;AV-502;DE CEBREROS (AV-512) A  N-403;11.72;19.81;31.53;6.95;AV-4270
AV;P;AV-804;DE ÁVILA (N-501) A A-50;11.93;0.0;11.93;7.2;AV-4585
AV;P;AV-804;DE A-50 A HERNANSANCHO (CL-507);9.17;11.93;21.1;7.2;AV-4310
AV;P;AV-804;DE TIÑOSILLOS A ARÉVALO;14.26;30.0;44.26;8.2;AV-4510
AV;P;AV-900;DE CARRETERA A RIOFRÍO A NAVALMORAL DE LA SIERRA (AV-905);17.397;9.243;26.64;6.75;AV-1340
AV;P;AV-900;DE NAVALMORAL DE LA SIERRA (AV-905) A BURGOHONDO (AV-902);7.28;26.64;33.92;6.8;AV-4320
AV;P;AV-905;DE  AV-903 A NAVALMORAL DE LA SIERRA (AV-900);14.66;21.29;35.95;6.9;AV-4395
AV;P;AV-905;DE NAVALMORAL A EL BARRACO (N-403);10.95;35.95;46.9;6.9;AV-4025
AV;P;AV-922;DE AV-913 A PEDRO BERNARDO;13.13;11.87;25.0;5.1;AV-4550
AV;P;AV-922;DE PEDRO BERNADO A LIMITE DE C.A. DE CLM;10.75;25.0;35.75;7.15;AV-4370
AV;P;AV-923;DE  N-502 A ARENAS DE SAN PEDRO (AV-924);6.295;0.0;6.295;7.3;AV-4380
AV;P;AV-925;DE RAMACASTAÑAS (N-502) A ARENAS DE SAN PEDRO (AV-924);4.578;0.0;4.578;9.1;AV-4100
AV;P;AV-941;DE VENTA RASQUILLA (N-502) A HOYOS DEL ESPINO (AV-931);16.5;0.0;16.5;7.3;AV-1040
AV;L;AV-120;DE MUÑANA (N-110) A SAN JUAN DEL OLMO;12.0;0.0;12.0;4.8;AV-4580
AV;L;AV-413;DE ARÉVALO A LÍMITE DE PROVINCIA DE SEGOVIA;0.835;0.0;0.835;5.6;SG-4370
AV;L;AV-500;DE BERNUY-SALINERO A AV-501;14.745;7.235;21.98;5.0;AV-4245
AV;L;AV-500;DE AV-501 A LÍMITE DE PROVINCIA DE SEGOVIA;0.23;21.98;22.21;5.0;SG-4305
AV;L;AV-501;DE LÍMITE DE PROVINCIA DE SEGOVIA A LÍMITE DE PROVINCIA DE SEGOVIA;2.8;11.0;13.8;5.6;AV-4250
AV;L;AV-503;DE CRUCE CON EXPLOTACIÓN DE ÁRIDOS A SAN BARTOLOMÉ DE PINARES;17.577;3.923;21.5;6.5;AV-4560
AV;L;AV-503;DE SAN BARTOLOMÉ DE PINARES A  CARRETERA DE DIPUTACIÓN;4.93;21.5;26.43;5.5;AV-4570
AV;L;AV-561;DE HOYO DE PINARES (AV-502) A LÍMITE DE C.A. DE MADRID;11.74;0.0;11.74;7.1;AV-4280
AV;L;AV-901;DE BURGOHONDO (AV-902) A VILLANUEVA DE ÁVILA (AV-P-420);7.685;0.0;7.685;8.1;AV-4520
AV;L;AV-903;DE BURGOHONDO A  AV-905;6.851;0.0;6.851;5.05;AV-4475
AV;L;AV-911;DE (AV-915) A LÍMITE DE C.A. DE MADRID;1.598;0.0;1.598;6.3;AV-4440
AV;L;AV-915;DE SOTILLO DE LA ADRADA (CL-501) A  AV-911;2.0;0.0;2.0;5.2;AV-4440
AV;L;AV-924;DE ARENAS DE SAN PEDRO (AV-923) A ENTRADA A POYALES DEL HOYO;12.23;0.0;12.23;5.5;AV-4590
AV;L;AV-924;DE ENTRADA A POYALES DEL HOYO A CANDELEDA (CL-501);10.03;12.23;22.26;7.0;AV-4105
AV;L;AV-930;DE LA ADRADA (CL-501) A LÍMITE DE C.A. DE CASTILLA LA MANCHA;7.564;0.0;7.564;5.7;AV-4450
AV;L;AV-932;DE LA HERGUIJUELA A AV-941;6.44;21.38;27.82;4.35;AV-4430
BU;B;CL-603;DE CAMPILLO DE ARANDA (BU-200) A MORADILLO DE ROA (BU-202);9.24;4.74;13.98;8.0;BU-1100
BU;B;CL-603;DE MORADILLO DE ROA (BU-202) A LÍMITE DE PROVINCIA DE SEGOVIA;6.52;13.98;20.5;8.2;SG-3125
BU;B;CL-629;DE SOTOPALACIOS (N-623) A PK 10,800;10.8;0.0;10.8;7.0;BU-3150
BU;B;CL-633;DE N-627 A MASA (N-623);6.6;0.0;6.6;8.0;BU-3760
BU;P;BU-120;DE N-122 A ROA DE DUERO (BU-130);14.9;0.0;14.9;8.0;BU-4265
BU;P;BU-400;DE MELGAR DE FERNAMENTAL (N-120) A CASTROJERIZ;15.3;0.0;15.3;8.1;BU-4295
BU;P;BU-526;DE BERCEDO (CL-629) A  N-629;1.29;0.0;1.29;6.2;BU-3180
BU;P;BU-526;DE  N-629 A  BU-542;7.41;1.29;8.7;5.4;BU-4190
BU;P;BU-526;DE ESPINOSA DE LOS MONTEROS A SANTELICES (BU-561);20.25;10.6;30.85;7.0;BU-1205
BU;P;BU-526;DE SANTELICES (BU-561) A SONCILLO (N-232);6.77;30.85;37.62;7.4;BU-4210
BU;P;BU-542;DE N-629 A ESPINOSA DE LOS MONTEROS (BU-526);5.2;0.0;5.2;8.0;BU-4385
BU;P;BU-550;DE BU-552 A LÍMITE DE C.A. DEL PAÍS VASCO;17.7;26.8;44.5;8.0;BU-4415
BU;P;BU-551;DE BU-550 A MEDINA DE POMAR (N-629);18.63;0.0;18.63;7.0;BU-4420
BU;P;BU-552;DE BERBERANA A BU-550;15.6;0.0;15.6;7.2;BU-4425
BU;P;BU-554;DE CL-629 A LÍMITE DE C.A. DEL PAÍS VASCO;12.1;0.0;12.1;6.0;BU-4440
BU;P;BU-622;DE SANTIBÁÑEZ ZARZAGUDA A  N-627;11.5;15.7;27.2;6.5;BU-4905
BU;P;BU-627;DE SOTRESGUDO (BU-610)  A LÍMITE DE PROVINCIA DE PALENCIA;10.28;33.25;43.53;8.2;BU-4755
BU;P;BU-710;DE BRIVIESCA (N-I) A  BELORADO (BU-P-7101);21.4;0.0;21.4;5.7;BU-4525
BU;P;BU-750;DE LÍMITE DE C.A. DEL PAÍS VASCO (PUERTO DE VITORIA) A CL-127;6.78;0.0;6.78;9.0;BU-0575
BU;P;BU-800;DE CARDEÑAJIMENO A CARDEÑADIJO;9.3;3.5;12.8;7.0;BU-4935
BU;P;BU-820;DE IBEAS DE JUARROS (N-120) A BU-813;19.8;0.0;19.8;7.1;BU-4695
BU;P;BU-820;DE BU-813 A PINEDA DE LA SIERRA;14.7;19.8;34.5;5.0;BU-4705
BU;P;BU-820;DE PINEDA DE LA SIERRA A BU-825;16.55;34.5;51.05;4.1;BU-4705
BU;P;BU-901;DE BU-900 A BU-910;6.1;22.34;28.44;7.1;BU-4635
BU;P;BU-904;DE LERMA (N-I) A COVARRUBIAS (BU-901);21.8;0.0;21.8;7.1;BU-1025
BU;P;BU-910;DE ARANDA DE DUERO (N-I) A ARANDA DE DUERO (BU-950);2.35;0.0;2.35;;
BU;P;BU-910;DE ARANDA DE DUERO (BU-950) A BU-912;6.15;2.35;8.5;7.0;BU-4645
BU;P;BU-910;DE CALERUEGA (BU-920) A HORTEZUELOS;13.3;24.7;38.0;7.0;BU-4660
BU;P;BU-910;DE BU-901 (SANTO DOMINGO DE SILOS) A PK 44,000 (FIN VARIANTE);1.3;43.7;45.0;8.0;BU-4640
BU;L;BU-113;DE BAHABÓN DE ESGUEVA (N-I) A CABAÑES DE ESGUEVA (BU-130);7.4;0.0;7.4;5.3;BU-4800
BU;L;BU-114;DE A-I A VILLAFRUELA;16.2;0.0;16.2;5.9;BU-4260
BU;L;BU-122;DE ROA DE DUERO (BU-130) A FUENTECÉN (N-122);8.6;0.0;8.6;5.2;BU-4815
BU;L;BU-134;DE ROA DE DUERO (BU-130) A LÍMITE DE PROVINCIA DE VALLADOLID;10.5;0.0;10.5;5.0;BU-4860
BU;L;BU-200;DE ADRADA DE HAZA A N-I POR CAMPILLO DE ARANDA;11.97;5.73;17.7;4.6;BU-4865
BU;L;BU-202;DE ADRADA DE HAZA (BU-200) A MORADILLO DE ROA;8.74;0.0;8.74;5.0;BU-4970
BU;L;BU-202;DE MORADILLO DE ROA A N-I;8.46;8.74;17.2;4.8;BU-4810
BU;L;BU-210;DE N-122 A LÍMITE DE PROVINCIA DE SEGOVIA;7.1;0.0;7.1;4.7;BU-4810
BU;L;BU-434;DE ARENILLAS DE RIOPISUERGA (BU-400) A LÍMITE DE PROVINCIA DE PALENCIA;3.31;0.0;3.31;5.3;PA-4760
BU;L;BU-504;DE BU-530 A FRÍAS;4.43;0.0;4.43;6.0;BU-4355
BU;L;BU-504;DE FRÍAS A BUSTO DE BUREBA (N-232);17.62;4.43;22.05;7.0;BU-4775
BU;L;BU-504;DE BUSTO DE BUREBA (N-232) A CALZADA DE BUREBA (SC-BU-4);5.89;22.05;27.94;7.0;BU-4775
BU;L;BU-520;DE QUINTANA MARTÍN GALÍNDEZ (BU-530) A FRÍAS (BU-504);6.9;0.0;6.9;7.0;BU-4355
BU;L;BU-532;DE PEDROSA DE TOBALINA (BU-550) A BARCINA DEL BARCO (BU-530);13.6;0.0;13.6;6.1;BU-4770
BU;L;BU-555;DE LÍMITE DE C.A. DEL PAÍS VASCO A LÍMITE DE C.A. DEL PAÍS VASCO;3.05;0.0;3.05;5.8;BU-4770
BU;L;BU-561;DE VILLARCAYO (CL-629) A SANTELICES (BU-526);20.2;0.0;20.2;6.3;BU-4450
BU;L;BU-571;DE LAS MACHORRAS (BU-570) A LÍMITE DE C.A. DE CANTABRIA (PTO DE LA SÍA);7.3;0.0;7.3;4.6;BU-4875
BU;L;BU-572;DE SALCEDILLO (BU-570) A L.C.A. DE CANTABRIA (PTO. LUNADA);8.6;0.0;8.6;4.9;BU-4875
BU;L;BU-610;DE SASAMÓN (BU-640) A SOTRESGUDO (BU-627);21.7;0.0;21.7;5.1;BU-4475
BU;L;BU-621;DE VILLADIEGO (BU-601) A QUINTANAS DE VALDELUCIO (N-627);31.9;0.0;31.9;5.1;BU-4750
BU;L;BU-704;DE VILLALÓMEZ (BU-703) A TOSANTOS (N-120);7.8;0.0;7.8;3.5;BU-4945
BU;L;BU-812;DE BU-811 A BU-811 POR VILLAGALIJO;2.4;0.0;2.4;4.5;BU-4840
BU;L;BU-813;DE BU-820 A PRADOLUENGO (BU-811);13.8;0.0;13.8;7.1;BU-4700
BU;L;BU-912;DE N-I A QUEMADA (BU-925);11.8;0.0;11.8;5.0;BU-4740
BU;L;BU-923;DE  PEÑARANDA DE DUERO (BU-925) A LA VID (N-122);6.75;18.1;24.85;5.3;BU-4685
BU;L;BU-930;DE SAN JUAN DEL MONTE (BU-925) A BU-945 POR VADOCONDES;16.9;0.0;16.9;5.0;BU-4845
LE;B;A-231;DE ONZONILLA A SANTAS MARTAS (N-630);20.15;0.0;20.15;10.5;LE-0630
LE;B;A-231;DE SANTAS MARTAS (N-630) A EL BURGO RANERO;14.25;20.15;34.4;10.5;LE-0630
LE;B;A-231;DE EL BURGO RANERO A SAHAGÚN (LE-232);15.6;34.4;50.0;10.5;LE-1615
LE;B;CL-621;DE LÍMITE DE PROVINCIA DE VALLADOLID A MATANZA DE LOS OTEROS;3.5;8.3;11.8;10.0;VA-3160
LE;B;CL-622;DE RIBASECA (N-630) A SANTA MARÍA DEL PÁRAMO (CL-625);26.75;0.0;26.75;9.0;LE-0070
LE;B;CL-623;DE SAN ANDRÉS DEL RABANEDO A LORENZANA (LE-129);8.0;0.0;8.0;9.0;LE-1105
LE;B;CL-623;DE LE-460 A LA MAGDALENA (CL-626);9.0;18.0;27.0;9.0;LE-3765
LE;B;CL-625;CIRCUNVALACIÓN DE SANTA MARÍA DEL PÁRAMO;5.13;0.0;5.13;8.1;LE-3785
LE;B;CL-626;DE CABOALLES DE ABAJO (LE-497) A CL-631;2.05;7.0;9.05;6.35;LE-1205
LE;B;CL-626;DE  PIEDRAFITA DE BABIA (LE-495) A PUENTE ORUGO (LE-481);17.46;23.54;41.0;10.0;LE-3125
LE;B;CL-626;DE PUENTE ORUGO (LE-481) A LE-473;15.28;41.0;56.28;8.5;LE-1120
LE;B;CL-626;DE LA MAGDALENA (LE-420) A CL-623;3.16;79.9;83.06;9.1;LE-1110
LE;B;CL-626;DE CL-624 (BOÑAR) A N-621;18.3;124.1;142.4;8.0;LE-3560
